Family,Species,Author,Info,Occurrence,Common names,Abundance,Max length,Maturity,Remark,Photo
Blenniidae,Cirripectes quagga,"(Fowler & Ball, 1924)",M,native ,,,10.00 cm TL male/unsexed ,,Known from Queensland. Also Ref. 90102. ,+ 
Blenniidae,Cirripectes stigmaticus,"Strasburg & Schultz, 1953",M,native ,"Redstreaked blenny (English), Red-streaked blenny (English) ",,10.00 cm SL male/unsexed ,,Known from Western Australia and Queensland.  ,+ 
Monocentridae,Cleidopus gloriamaris,"De Vis, 1882","M, Or",endemic ,"Australian pineapplefish (English), Coat-of-mail fish (English), Knightfish (English), Mailfish (English), Pineapple fish (English), Pineconefish (English), Port and starboard light fish (English), West Australian knight fish (English) ",occasional (usually not seen) ,22.00 cm SL male/unsexed ,,"Known from One Tree Island, Queensland (23°30'S) to eastern Tasmania (42°S) and from off Eucla to Rowley Shoals (18°26'S), Western Australia. Also Ref. 2334, 9563. ",+ 
Platycephalidae,Cociella crocodilus,"(Cuvier, 1829)","Br, M",native ,,,50.00 cm TL male/unsexed ,,In range Ref. 7050. ,+ 
Aploactinidae,Cocotropus larvatus,"Poss & Allen, 1987",M,native ,,,7.06 cm SL male/unsexed ,,Known from Western Australia (Ref. 49596). ,+ 
Congridae,Conger cinereus,"Rüppell, 1830",M,native ,"Blacklip conger (English), Ashen conger-eel (English), Black-edged conger (English), Longfin conger (English) ",,140 cm TL male/unsexed ,,"Ranges south to Exmouth Gulf, Western Australia, the Great Barrier Reef at 23°30'S, Lord Howe Island (Ref. 33390) and the territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 7300. ",+ 
Congridae,Conger verreauxi,"Kaup, 1856",M,native ,"Southern conger (English), Common conger-eel (English), Conger (English), Short-finned conger-eel (English), Southern conger eel (English), Conger eel (English) ",,200 cm TL male/unsexed ,,"Known from N.S.W., Victoria, Tasmania, South Australia and Western Australia (Ref. 7300). ",+ 
Congridae,Conger wilsoni,"(Bloch & Schneider, 1801)",M,native ,"Eastern conger (English), Common conger (English), Common conger-eel (English), Moray (English), Short-finned conger eel (English), Wilson's conger eel (English), Conger eel (English) ",,150 cm TL male/unsexed ,,"Occurs in Qld., New South Wales and Western Australia (Ref. 7300); also Lord Howe and Norfolk islands. (Ref. 8879). Also Ref. 33390. ",+ 
Pseudochromidae,Congrogadus subducens,"(Richardson, 1843)",M,native ,"Carpet eel blenny (English), Ambeetunbeet (English), Carpet eel-blenny (English), Daggerfish (English), Eared eel-blenny (English), Launce (English), Lurking machete (English), Mud blenny (English), Ocellated eel blenny (English) ",,45.00 cm TL male/unsexed ,,"Known from Western Australia, Northern Territories, and Queensland (Ref. 531). Also Ref. 3132, 5978, 90102. ",+ 
Labridae,Conniella apterygia,"Allen, 1983",M,native ,"Connie's wrasse (English), Rowley Shoals wrasse (English) ",,8.00 cm TL male/unsexed ,,"Type locality: Rowley Shoals, outer reef slope east of Bedwell I., Clerke Reef, Western Australia (Ref. 12965). Also Ref. 9710. ",+ 
Priacanthidae,Cookeolus japonicus,"(Cuvier, 1829)",M,native ,"Longfin bigeye (English), Bigeye (English), Long-finned bullseye (English) ",,69.00 cm NG male/unsexed ,,"Museum: Western Australia, AMS I. 2474. Queensland, QM I.12129. New South Wales, AMS I.16129-001 (Ref. 2334). Also Ref. 5403. ",+ 
Chaetodontidae,Coradion altivelis,"McCulloch, 1916",M,native ,"Highfin coralfish (English), High-finned coralfish (English) ",,18.00 cm TL male/unsexed ,,"Type locality: Queensland (Ref. 48636). Common in Moreton Bay, few juveniles from Balmoral, Sydney Harbor (Ref. 9002) and Lizard islands (Ref. 40521). Museum: CSIRO CA2955. From North West Cape to Darwin (Ref. 5978). Also Ref. 2334, 43239. ",+ 
Chaetodontidae,Coradion calendula,"Matsunuma, Motomura & Seah, 2023",M,native ,Orange-tailed coralfish (English) ,,15.78 cm SL male/unsexed ,,"Type locality of the holotype of Coradion calendula: WNW of Port Hedland, WA; collected by demersal trawl. Known from the NW shelf (WA) east to northern Cape York Peninsula (Qld), in the vicinity of the Torres Strait; Also collected from Kendrew Island, Dampier Archipelago, WA (Ref. 128188). ",- 
Chaetodontidae,Coradion chrysozonus,"(Cuvier, 1831)",M,native ,"Orangebanded coralfish (English), Orange-banded coralfish (English) ",,15.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Museum: CSIRO CA998. Found from North West Cape to Darwin (Ref. 5978). Recorded from Shark Bay (Ref. 115274).Also Ref. 1602, 2334. ",+ 
Chaetodontidae,Coradion melanopus,"(Cuvier, 1831)",M,native ,,,15.00 cm TL male/unsexed ,,,+ 
Labridae,Coris auricularis,"(Valenciennes, 1839)",M,endemic ,"Western king wrasse (English), King wrasse (English) ",,40.00 cm TL male/unsexed ,,"Occurs from Coral Bay to Recherche Archipelago (Ref. 9710). Recorded from Shark Bay (Ref. 115274). Common over shallow rocky reefs and sandy areas near reefs of about 40 m depth. Reported to be the most commonly observed fish at Rottnest I. Museum: Western Australia, BMNH 1935.9.14.16. King George Sound, MNHN A.9286 (holotype of Julis auricularis). Geographe Bay, AMS I.19629-036. Cockburn Sound, AMS I.20231-010, BPBM 27781. Esperance jetty, AMS I.20226-002. Rottnest I., AMS I.20239-008, LACM W55-189-9. Between Cape Naturaliste and Geraldton, AMS E.2484 (Ref. 33411). Also Ref. 33411. ",+ 
Labridae,Coris aurilineata,"Randall & Kuiter, 1982",M,native ,"Goldlined wrasse (English), Goldlined coris (English), Yellow-lined coris (English), Yellow-lined rainbow-wrasse (English) ",,14.00 cm TL male/unsexed ,,"Apparently restricted to eastern Australia from southern Queensland to central New South Wales (Ref. 2334). Museum: NMV A.1831 (holotype of C. aurilineata, 8.76 cm SL, male) (Ref. 33410). ",- 
Labridae,Coris aygula,"Lacepède, 1801",M,native ,"Redblotched wrasse (English), Clown coris (English), Clown wrasse (English), Humphead wrasse (English), Red-blotched rainbowfish (English) ",,120 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Recorded from Shark Bay (Ref. 115274). Museum: Lord Howe I., BMNH 1926.6.30.45, 1926.6.30.47; BPBM 14797 (Ref. 33411). Also Ref. 1602, 2334. ",+ 
Labridae,Coris batuensis,"(Bleeker, 1856)",M,native ,"Variegated wrasse (English), Batu rainbow-wrasse (English), Pallid wrasse (English), Schroeder's coris (English), Schroeder's rainbow wrasse (English), Variegated rainbowfish (English), Yellow wrasse (English) ",,17.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Museum: Queensland, Cape York, AMS I.20776-029. Murray I., QM I.84 (holotype Platyglossus punctatus). Endeavour River, AMS I.16362-001 (holotype of Coris pallida). Great Barrier Reef, Endeavour Reef, ANS P 113556. Lizard I., CAS 51811; QM I.19727; USNM 218086. Bushy I., QM I.13578. Chesterfield Reef (near Loop I.), QM I.19056. Fairfax Reef, AMS I.21490-043. Heron I., LACM 39985-45. One Tree I., AMS I.20205-033; USNM uncat. (Ref. 33411) (Ref. 9710). ",+ 
Labridae,Coris bulbifrons,"Randall & Kuiter, 1982",M,native ,Doubleheader (English) ,,60.00 cm TL male/unsexed ,,"Known from the northern and central New South Wales, including Lord Howe I. (Ref. 2748). Museum: Lord Howe Island, BPBM 14869 (holotype of Coris bulbifrons); AMS I.1587 (Ref. 33411). Also Ref. 8879, 9710. ",+ 
Labridae,Coris caudimacula,"(Quoy & Gaimard, 1834)",M,native ,"Spot-tail wrasse (English), Tail-spot rainbow-wrasse (English) ",,20.00 cm TL male/unsexed ,,"Museum: Western Australia: Tantabiddi Creek, WAM P.25370-011; North West Cape, Mandu Mandu Creek, AMNH 48724, BPBM 31288, WAM P.25367-001; South Muiron I., WAM P.28526-006; Green I., AMNH 37645 (Ref. 33411). Recorded from Shark Bay (Ref. 115274). Also Ref. 9710. ",+ 
Labridae,Coris dorsomacula,"Fowler, 1908",M,native ,"Pinklined wrasse (English), Pale-barred coris (English), Pink-lined coris (English), Pink-lined rainbow wrasse (English), Spotfin wrasse (English) ",,38.00 cm TL male/unsexed ,,"Type locality: Victoria (=Kimberleys) (Ref. 48636). Known from Coral Sea Islands Territory (Ref. 75154). Museum: Victoria, ANSP 33126 (holotype of Coris dorsomacula, dried specimen). New South Wales, Jervis Bay, BPBM 18017. Thompson's Bay, BPBM 19591. Queensland, Great Barrier Reef, Capricorn Group, One Tree I., AMS I.15637-001; BPBM 18619, 19590, 19594, 19595. Jennie Louise Shoal (off Cairns), BPBM 13448. Coral Sea: Saumarez Reef, BPBM 15050; Chesterfield Is., BPBM 33688 (Ref. 33411). Recorded from Shark Bay (Ref. 115274). Also Ref. 2334. ",+ 
Labridae,Coris gaimard,"(Quoy & Gaimard, 1824)",M,native ,"Clown wrasse (English), Gaimard rainbow-wrasse (English), Gaimard wrasse (English), Red-finned rainbowfish (English), Yellowtail coris (English) ",,40.00 cm TL male/unsexed ,,"Reported from Lord Howe Island and off Territory of Ashmore and Cartier Islands (Ref. 75154). Museum: New South Wales, Thompson's Bay, AMS I.17274-001. Queensland, Great Barrier Ref, Heron I., AMS I.15442-001. Little Hope I., ANSP 123246. Cairns, AMS I.19348-002 (Ref. 33411). Also Ref. 1602. ",+ 
Labridae,Coris picta,"(Bloch & Schneider, 1801)",M,native ,"Comb wrasse (English), Australian comb wrasse (English), Bananafish (English), Combfish (English) ",,25.00 cm TL male/unsexed ,,"Ranges from southern Queensland to northern Victoria, including Lord Howe Island (Ref. 9002). Museum: Queensland: Moreton Bay, Bribie I., QM 11365; Flinders Reef, QM I.19068. New South Wales: Bass Point, Shell Harbor, AMS I.17229-002; Seal Rocks, AMS I.17123-001; Clovelly Pool, Sydney, AMS IB.7809-11; Little Bay, Sydney, AMS I.7229; Bundeena, AMS IB.4295; Jervis Bay, AMS I.8214, BPBM 18018. Middleton Reef, CAS 49139. Lord Howe I., AMS I.1675, I.3116, I.5121, IB.7269, I.13672, BPBM 14774, 14751, 14921, SU 9167, USNM 47793, 47823 (Ref. 33411). Also Ref. 43239. ",+ 
Labridae,Coris pictoides,"Randall & Kuiter, 1982",M,native ,"Pixy wrasse (English), Black-striped wrasse (English), Blackstripe coris (English), Pixie coris (English), Pixy rainbow-wrasse (English) ",,15.00 cm TL male/unsexed ,,Reported up to New South Wales and on the west coast of Australia south to the Dampier Archipelago (Ref. 2748). Recorded from Shark Bay (Ref. 115274). Also observed in 33 m at the Lizard I. of the Great Barrier Reef (Ref. 33411). ,+ 
Labridae,Coris sandeyeri,"(Hector, 1884)",M,native ,"Eastern king wrasse (English), King wrasse (English), Sandager's wrasse (English) ",,25.00 cm TL male/unsexed ,,"Known along the SE coast of Australia, from central New South Wales to northern Victoria, and eastward to Lord Howe I. (Ref. 8879). Museum: NSW, North Bondi, AMS I.18302-02. Off Cape Hawke, BPBM 28018. Lord Howe I., AMS I.17393-003; BPBM 14824, 14836, 14913 (Ref. 33411). ",+ 
Syngnathidae,Corythoichthys amplexus,"Dawson & Randall, 1975",M,native ,"Redbanded pipefish (English), Brown-banded pipefish (English), Fijian banded pipefish (English) ",,10.00 cm SL male/unsexed ,,"Museum: USNM 214900 (One Tree Is., Queensland) (Ref. 5316). Great Barrier Reef. (Ref. 37816). Also in Northern Territory and Westen Australia (Ref. 90102). ",+ 
Syngnathidae,Corythoichthys benedetto,"Allen & Erdmann, 2008",M,native ,,,6.76 cm SL male/unsexed ;6.74 cm SL female ,,Great Barrier Reef (Ref. 90102). ,+ 
Syngnathidae,Corythoichthys flavofasciatus,"(Rüppell, 1838)",M,native ,"Reticulate pipefish (English), Yellowbanded pipefish (English) ",,12.00 cm TL male/unsexed ,,Ranges south to the Western Australia at 17°22'S and the Great Barrier Reef at 21°40'S (Ref. 33390). Also Ref. 9710. ,+ 
Syngnathidae,Corythoichthys haematopterus,"(Bleeker, 1851)",M,native ,Reeftop pipefish (English) ,,19.80 cm SL male/unsexed ,,Reported from Darwin (Ref. 33390). Also Ref. 90102. ,+ 
Syngnathidae,Corythoichthys intestinalis,"(Ramsay, 1881)",M,native ,"Messmate pipefish (English), Australian messmate pipefish (English), Banded pipefish (English), Waite's pipe-fish (English) ",,16.00 cm SL male/unsexed ,,"Known from Rowley Shoals, Great Barrier Reef and the Coral Sea. Museum: GCRL 17050 (Queensland) (Ref. 5316). Also Ref. 90102. ",+ 
Syngnathidae,Corythoichthys ocellatus,"Herald, 1953",M,native ,"Ocellate pipefish (English), Orange-spotted pipefish (English) ",,10.30 cm SL male/unsexed ,,Great Barrier Reef (Ref. 90102). ,+ 
Syngnathidae,Corythoichthys paxtoni,"Dawson, 1977",M,native ,Paxton's pipefish (English) ,,13.40 cm SL male/unsexed ,,Occurs in the Great Barrier Reef. Museum: AMS I. 18598-001. ,- 
Syngnathidae,Corythoichthys schultzi,"Herald, 1953",M,native ,"Schultz's pipefish (English), Long-snouted pipefish (English) ",,16.00 cm TL male/unsexed ,,"Ranges south to Western Australia at 17°22'S and the Great Barrier Reef at 23°30'S (Ref. 33390). Also Ref. 5316, 48635, 90102. ",+ 
Syngnathidae,Cosmocampus banneri,"(Herald & Randall, 1972)",M,native ,"Rough-ridge pipefish (English), Banner's pipefish (English) ",,5.80 cm SL male/unsexed ,,Ranges south to Western Australia at 17°18'S (Ref. 33390). Northwest Shelf (Ref. 90102). ,+ 
Syngnathidae,Cosmocampus darrosanus,"(Dawson & Randall, 1975)",M,native ,"Whiteface pipefish (English), D' Arros pipefish (English) ",,7.40 cm SL male/unsexed ,,,- 
Syngnathidae,Cosmocampus maxweberi,"(Whitley, 1933)",M,native ,Maxweber's pipefish (English) ,,10.00 cm TL male/unsexed ,,Queensland (Ref. 37816). Great Barrier Reef (Ref. 90102). ,+ 
Creediidae,Creedia partimsquamigera,"Nelson, 1983",M,native ,"Half-scaled sand-diver (English), Half scaled sand-diver (English), Halfscale sandburrower (English), Halfscaled sandburrower (English) ",,7.00 cm TL male/unsexed ,,Found off Sydney beaches in 10-15 m (Ref. 9002). Also Ref. 12706. ,- 
Mugilidae,Crenimugil crenilabis,"(Forsskål, 1775)",M,native ,"Wartylip mullet (English), Fringelip mullet (English), Warty-lipped mullet (English), Warty-nosed mullet (English) ",,60.00 cm TL male/unsexed ,,"Including Lord Howe Island (Ref. 1602, 75154). ",+ 
Mugilidae,Crenimugil seheli,"(Fabricius, 1775)","Br, M",native ,"Bluespot mullet (English), Black-spot mullet (English), Bluetail mullet (English), Even sand mullet (English), Long-armed mullet (English), Long-finned mullet (English), Sand mullet (English), Mullet (English) ",,60.00 cm TL male/unsexed ,,Also Ref. 38544. ,+ 
Gobiesocidae,Creocele cardinalis,"(Ramsay, 1882)",M,native ,"Broad clingfish (English), Cardinal clingfish (English) ",,7.50 cm TL male/unsexed ,,Occurs from South Australia to the Bass Strait area (Ref. 9002). ,- 
Blenniidae,Crossosalarias macrospilus,"Smith-Vaniz & Springer, 1971",M,native ,Triplespot blenny (English) ,,10.00 cm TL male/unsexed ,,Great Barrier Reef (Ref. 90102). ,+ 
Gobiidae,Cryptocentroides insignis,"(Seale, 1910)",M,native ,,,8.60 cm TL male/unsexed ,,"Known from North West Cape, WA (22°19'S) to Marchinbar Island, NT (136°40'E) (Ref. 75154). ",+ 
Gobiidae,Cryptocentrus caeruleomaculatus,"(Herre, 1933)",M,native ,,,10.00 cm SL male/unsexed ,,"Known from Exmouth Gulf, WA (22°15'S) to Lizard I. (14°40'S), Queensland (Ref. 75154). Also Ref. 37816. ",+ 
Gobiidae,Cryptocentrus cinctus,"(Herre, 1936)",M,native ,Yellow shrimp goby (English) ,,10.00 cm SL male/unsexed ,,"Known from Monte Bello Is. (20°24'S) to Ashmore Reef (12°15'S), WA and Lizard I. (14°39'S) to One Tree I. (23°30'S), QLD (Ref. 75154). Also Ref. 1602. ",+ 
Gobiidae,Cryptocentrus fasciatus,"(Playfair, 1867)",M,native ,Y-bar shrimp goby (English) ,,14.00 cm TL male/unsexed ,,"Known from Shark Bay, WA (26°10'S) to One Tree Island, QLD (23°30'S) (Ref. 75154). Also Ref. 2334. ",+ 
Gobiidae,Cryptocentrus inexplicatus,"(Herre, 1934)",M,native ,,,12.00 cm SL male/unsexed ,,Known from Darwin area (130°35'E) (Ref. 75154). ,+ 
Gobiidae,Cryptocentrus leucostictus,"(Günther, 1872)",M,native ,Saddled shrimp goby (English) ,,7.50 cm SL male/unsexed ,,"Known from the Lizard I. (14°40'S) to Wangetti Beach (16°39'S), Queensland (Ref. 75154). ",+ 
Gobiidae,Cryptocentrus maudae,"Fowler, 1937",M,native ,Maude's shrimpgoby (English) ,,10.00 cm SL male/unsexed ,,"Known from Lizard I. (14°40'S) to Cape Kimberly (16°17'S), Queensland (Ref. 75154). Also Ref. 37816. ",+ 
Gobiidae,Cryptocentrus melanopus,"(Bleeker, 1860)",M,native ,,,,,"Known from North West Cape, WA (113°57'E) to Lizard I., QLD (14°40'S). ",+ 
Gobiidae,Cryptocentrus strigilliceps,"(Jordan & Seale, 1906)",M,native ,Target shrimp goby (English) ,,12.00 cm TL male/unsexed ,,"Type locality, Hayman I., Queensland, AM IA.2027 (holotype of Obtortiophagus koumansi). Known from Monte Bello Islands, WA (20°24’S) to One Tree I., QLD (23°30'S) (Ref. 75154). Also Ref. 1602. ",+ 
Gobiidae,Cryptocentrus tentaculatus,"Hoese & Larson, 2004",M,endemic ,Tentacle shrimpgoby (English) ,,,,"Type locality, Field Island, Northern Territory, Australia, NTM S.14637-045 (holotype of Cryptocentrus tentaculatus). Known only from Australia, from Bathurst Island, NT to E of Cape York, Queensland; tropical, benthic, coral reef, soft bottom, 2-20 m (Ref. 75154). ",+ 
Acanthuridae,Ctenochaetus binotatus,"Randall, 1955",M,native ,"Twospot bristletooth (English), Two-spot bristle-tooth (English), Two-spot bristletooth (English) ",,22.00 cm TL male/unsexed ,,"Collected from the Lizard Island and One Tree Island, Great Barrier Reef (Ref. 5439). Also Ref. 42056, 37792. ",+ 
Acanthuridae,Ctenochaetus cyanocheilus,"Randall & Clements, 2001",M,native ,"Yelloweye bristletooth (English), Bristle-toothed surgeon-fish (English), Bristle-toothed surgeonfish (English), Goldring bristletooth (English), Indo-pacific yellow tang (English), Yellow-eye surgeonfish (English) ",,16.00 cm SL male/unsexed ,,Known from the Great Barrier Reef and Coral Sea (Osprey Reef). ,+ 
Acanthuridae,Ctenochaetus striatus,"(Quoy & Gaimard, 1825)",M,native ,"Lined bristletooth (English), Fine-lined bristletooth (English), Striated surgeonfish (English), Striped bristle-tooth (English), Striped bristletooth (English) ",,26.00 cm TL male/unsexed ,,"Collected from the Queensland, Great Barrier Reef, One Tree I. where it is abundant; Western Australia, Rowley Shoals and Scott Reef (Ref. 42056). Also Ref. 1602, 37792. ",+ 
Acanthuridae,Ctenochaetus tominiensis,"Randall, 1955",M,native ,"Orange-tip bristletooth (English), Orange-tipped bristletooth (English), Tomini bristletooth (English), Yellow-tip bristle-tooth (English), Yellow-tip bristletooth (English) ",,16.00 cm SL male/unsexed ,,"Collected from the Great Barrier Reef, NE of Portland Roads (Ref. 42056). Also Ref. 37792. ",+ 
Acanthuridae,Ctenochaetus truncatus,"Randall & Clements, 2001",M,native ,,,16.00 cm SL male/unsexed ,,,+ 
Gobiidae,Ctenogobiops aurocingulus,"(Herre, 1935)",M,native ,Gold-streaked shrimpgoby (English) ,,8.00 cm SL male/unsexed ,,"Known from Mermaid Reef, WA (17°06'S) and Nymph I. (14°39'S) to Cape Kimberly (16°17'S), QLD (Ref. 75154). Also Ref. 9710. ",+ 
Gobiidae,Ctenogobiops crocineus,"Smith, 1959",M,native ,"Silverspot shrimpgoby (English), Seychelles shrimpgoby (English) ",,5.49 cm SL male/unsexed ,,"Known from North Reef, WA (14°01'S) to Ashmore Reef (12°15'S), WA and Lizard I. (14°40'S) to One Tree I. (23°30'S), QLD. ",+ 
Gobiidae,Ctenogobiops feroculus,"Lubbock & Polunin, 1977",M,native ,Fierce shrimpgoby (English) ,,8.00 cm SL male/unsexed ,,"Known from Clerke Reef (17°20'S) to Ashmore Reef (12°15'S), WA and Escape Reef (15°49'S) to One Tree I. (23°30'S), QLD (Ref. 75154). Also Ref. 49596. ",+ 
Gobiidae,Ctenogobiops mitodes,"Randall, Shao & Chen, 2007",M,native ,,,5.34 cm SL male/unsexed ,,Great Barrier Reef (Ref 90102). ,+ 
Gobiidae,Ctenogobiops pomastictus,"Lubbock & Polunin, 1977",M,native ,Spotfin shrimp goby (English) ,,8.00 cm SL male/unsexed ,,"Type locality, Queensland, Lizard Island, BMNH 1976.9.22.3 (holotype of Ctenogobiops pomastictus). Known from Coral Bay region (23°30'S) to One Tree I. (23°30'S), Queensland (Ref. 75154). Including northwest Australia and the southern Great Barrier Reef (Ref. 9710). Also Ref. 1602. ",+ 
Gobiidae,Ctenogobiops tangaroai,"Lubbock & Polunin, 1977",M,native ,"Masted shrimp goby (English), Tangaroa shrimpgoby (English) ",,6.00 cm TL male/unsexed ,,"Known from Anne Cay, Queensland (17°23'S) (Ref. 75154). Also Ref. 1602. ",+ 
Diodontidae,Cyclichthys orbicularis,"(Bloch, 1785)",M,native ,"Birdbeak burrfish (English), Fixed spine porcupinefish (English) ",,30.00 cm TL male/unsexed ,,Museum: AMS I.23670-001 (TGT1509). Found from North West Cape to Darwin (Ref. 5978).  ,+ 
Diodontidae,Cyclichthys spilostylus,"(Leis & Randall, 1982)",M,native ,,,34.00 cm TL male/unsexed ,,Museum: LPPL JIF208 (TGT1656). From North West Cape to Darwin. Also: 4423. ,+ 
Platycephalidae,Cymbacephalus bosschei,"(Bleeker, 1860)",M,native ,"Smalleye flathead (English), Fine-spotted flathead (English) ",,45.00 cm TL male/unsexed ,,"Recorded from northern Australia (Ref. 48635). Museum: CSIRO CA1862. Northern coasts of Australia from Exmouth Gulf, W.A. (22°05'S) to One Tree Is., Qld. (23°30'S) (Ref. 7300). Also Ref. 90102. ",+ 
Labridae,Cymolutes praetextatus,"(Quoy & Gaimard, 1834)",M,native ,"Knife wrasse (English), Knifefish (English), Razon wrasse (English) ",,20.00 cm SL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 2334. ,+ 
Labridae,Cymolutes torquatus,"(Valenciennes, 1840)",M,native ,"Razor wrasse (English), Collared knifefish (English) ",,20.00 cm TL male/unsexed ,,"Known from Great Barrier Reef and New Southwales (Ref. 90102). Also known from Lord Howe I (Ref. 1602, 75154, 90102). Also Ref. 1602. ",+ 
Pseudochromidae,Cypho purpurascens,"(De Vis, 1884)",M,native ,"Lavender dottyback (English), Oblique-lined dottyback (English) ",,7.50 cm TL male/unsexed ,,"Known from Lizard Is. To Capricorn Group, Qld. (Ref. 7300), including Coral Sea Islands Territory (Ref. 75154); Great Barrier Reef (Ref. 90102). Also Ref. 2334. ",+ 
Cirrhitidae,Cyprinocirrhites polyactis,"(Bleeker, 1874)",M,native ,"Lyretail hawkfish (English), Swallowtail hawkfish (English) ",,15.00 cm TL male/unsexed ,,"Known from Western Australia, Queensland and New South Wales (Ref. 75154). Also Ref. 5357, 90102. In range Ref. 5469. ",+ 
Latridae,Dactylophora nigricans,"(Richardson, 1850)",M,endemic ,"Dusky morwong (English), Black butterfish (English), Butter perch (English), Butterfish (English), Nunckla (English), Nunda (English), Shitfish (English), Strongfish (English), Tillywurti (English) ",,120 cm TL male/unsexed ,,"Type locality of Cheilodactylus nigricans, Western Australia, King George Sound. Known from southern Australia from Western Australia to New South Wales and Tasmania (Ref. 9563, 75154, 120445). ",+ 
Dactylopteridae,Dactyloptena orientalis,"(Cuvier, 1829)",M,native ,"Purple flying gurnard (English), Flying gurnard (English), Indo-Pacific flying gurnard (English), Oriental helmet gurnard (English), Oriental searobin (English) ",,40.00 cm TL male/unsexed ,,"Occurs in northern Australia, from Geraldton, Western Australia to off Tathra, New South Wales (Ref. 7300). Also reported from Lord Howe Island (Ref. 33390, 75154). Museum: CAS 53138 (TGT2603). Also Ref. 5978, 27821, 90102. ",+ 
Callionymidae,Dactylopus dactylopus,"(Valenciennes, 1837)",M,native ,"Fingered dragonet (English), Finger dragonet (English) ",,30.00 cm TL male/unsexed ,,Museum: CSIRO CA2129. From North West Cape to Darwin (Ref. 5978). Known form Queensland and Western Australia (Ref. 90102). Also from Ref. 75992. ,+ 
Synanceiidae,Dampierosa daruma,"Whitley, 1932",M,endemic ,"Daruma stinger (English), North-west stonefish (English) ",,,,Found from Dampier Archipelago (20°28'S) to Broome (17°58'S) (Ref. 7300). ,- 
Pomacentridae,Dascyllus aruanus,"(Linnaeus, 1758)",M,native ,"Banded humbug (English), Humbug (English), Humbug dascyllus (English), White-tailed footballer (English) ",,10.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Including Lord Howe Island (Ref. 1602, 75154). Also Ref. 7247. ",+ 
Pomacentridae,Dascyllus melanurus,"Bleeker, 1854",M,native ,"Blacktail humbug (English), Black-tailed dascyllus (English) ",,8.00 cm TL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Northern Great Barrier Reef (Ref. 7247). ,+ 
Pomacentridae,Dascyllus reticulatus,"(Richardson, 1846)",M,native ,"Headband humbug (English), Reticulated dascyllus (English), Reticulated humbug (English) ",,9.00 cm TL male/unsexed ,,"Known from the western and eastern coasts; including Lord Howe Island (Ref. 1602). Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 7247, 2334. Known from Queensland and Western Australia (Ref. 90102). Recorded from Shark Bay (Ref. 115274). ",+ 
Pomacentridae,Dascyllus trimaculatus,"(Rüppell, 1829)",M,native ,"Threespot humbug (English), Three-spot dascyllus (English) ",,14.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154) and off Lord Howe I. (Ref. 1602, 75154). Known from New South Wales, Queensland and Western Australia (Ref. 90102). Recorded from Shark Bay (Ref. 115274). Also Ref. 7247. ",+ 
Carangidae,Decapterus kurroides,"Bleeker, 1855",M,native ,Redtail scad (English) ,,45.00 cm TL male/unsexed ,,"Museum: ANSP 152025, from North West Cape to Darwin (Ref. 5978). Also Ref. 7300, 33390. ",+ 
Carangidae,Decapterus macrosoma,"Bleeker, 1851",M,native ,"Slender scad (English), Long-bodied mackerel-scad (English), Long-bodied scad (English), Shortfin scad (English), Slender mackerel-scad (English) ",,35.00 cm TL male/unsexed ,,"Known from Exmouth Gulf in Western Australia to Eden in New South Wales, including the NW shelf, the N coast, the Gulf of Carpentaria, the NE coast, and the SE coast (Ref. 7300). Also occurs in Great Barrier Reef (Ref. 37816). Museum: ANSP 152027 (TGT2272) (Ref. 7300). Also Ref. 5978. ",+ 
Carangidae,Decapterus maruadsi,"(Temminck & Schlegel, 1843)",M,native ,,,30.00 cm FL male/unsexed ,,,+ 
Scorpaenidae,Dendrochirus biocellatus,"(Fowler, 1938)",M,native ,Twinspot lionfish (English) ,,13.00 cm TL male/unsexed ,,"Reported from the northwestern shelf (Ref. 33390). Recorded from the Territory of Ashmore and Cartier Islands (Ref. 75154), also Timor Sea reefs (Ref. 90102). Also Ref. 1602. ",+ 
Scorpaenidae,Dendrochirus brachypterus,"(Cuvier, 1829)",M,native ,"Dwarf lionfish (English), Short-spined butterfly-cod (English), Short-spined scorpionfish (English) ",,17.00 cm TL male/unsexed ,,"Found from North West Cape to Darwin (Ref. 5978). Also reported from Lord Howe Island (Ref. 75154). Also Ref. 1602, 90102. ",+ 
